 v1	 v2	 gamma	 cycle	 L2 Error	 time 
1	2	2	4	6.40E-05	527.684
2	1	2	4	6.30E-05	562.865
1	1	2	5	4.20E-05	597.806
3	1	2	4	3.30E-05	610.064
2	2	2	4	3.10E-05	646.64
4	1	2	4	2.10E-05	703.827
3	2	2	4	2.00E-05	705.078
1	4	2	4	1.90E-05	709.195
2	3	2	4	1.90E-05	723.016
5	1	2	4	1.50E-05	752.419
4	2	2	4	1.40E-05	756.036
1	5	2	4	1.30E-05	780.214
3	3	2	4	1.30E-05	780.747
2	4	2	4	1.30E-05	792.854
4	3	2	4	1.00E-05	825.847
5	2	2	4	1.00E-05	842.364
2	5	2	4	1.00E-05	846.136
3	4	2	4	1.00E-05	849.592
2	3	1	8	8.60E-05	900.86
5	3	2	4	8.00E-06	905.161
3	5	2	4	8.00E-06	923.108
2	2	1	9	7.50E-05	923.67
1	3	1	9	6.60E-05	926.339
4	4	2	4	8.00E-06	929.515
2	5	1	7	8.70E-05	958.799
1	4	1	8	8.60E-05	977.401
2	1	1	11	5.50E-05	983.528
5	4	2	4	6.00E-06	992.806
4	2	1	8	6.60E-05	993.472
4	5	2	4	6.00E-06	995.237
1	2	1	11	3.20E-05	997.249
3	3	1	8	4.40E-05	1000.54
3	1	1	10	4.90E-05	1004.77
3	2	1	9	3.10E-05	1011.56
4	1	1	9	7.20E-05	1012.08
1	5	1	8	4.10E-05	1024.8
1	1	1	13	7.60E-05	1034.19
2	4	1	8	3.70E-05	1039.96
3	5	1	7	5.40E-05	1044.39
4	4	1	7	6.30E-05	1049.95
5	3	1	7	8.20E-05	1055.95
5	5	2	4	5.00E-06	1059.37
3	4	1	8	2.00E-05	1101
5	2	1	8	4.00E-05	1101.05
4	3	1	8	2.60E-05	1116.73
5	1	1	9	3.70E-05	1133.89
5	4	1	7	4.50E-05	1149.12
4	5	1	7	3.70E-05	1149.38
5	5	1	7	2.70E-05	1216.89
1	1	3	5	3.80E-05	1830.07
1	2	3	4	5.20E-05	1833.49
2	1	3	4	5.00E-05	1868.96
1	3	3	4	2.50E-05	2127.21
1	3	2	4	3.10E-05	2145.25
3	1	3	4	2.50E-05	2152.58
2	2	3	4	2.50E-05	2183.7
4	1	3	4	1.60E-05	2505.58
1	4	3	4	1.50E-05	2526.35
2	3	3	4	1.50E-05	2551.47
4	2	3	4	1.10E-05	2825.59
2	4	3	4	1.10E-05	2840.06
3	3	3	4	1.10E-05	2841.96
5	1	3	4	1.10E-05	2853.21
1	5	3	4	1.10E-05	2858.24
5	2	3	4	8.00E-06	3184.19
3	4	3	4	8.00E-06	3184.32
4	3	3	4	8.00E-06	3189.34
2	5	3	4	8.00E-06	3229.95
4	4	3	4	6.00E-06	3512.14
5	3	3	4	7.00E-06	3563.83
5	4	3	4	5.00E-06	3859
4	5	3	4	5.00E-06	3881.86
5	5	3	4	4.00E-06	4217.93
3	2	3	4	1.60E-05	4382.85
1	1	4	5	3.80E-05	13544
2	1	4	4	4.90E-05	13606.3
1	2	4	4	5.10E-05	13647.1
3	1	4	4	2.50E-05	16617.2
2	2	4	4	2.40E-05	16631.2
4	1	4	4	1.60E-05	19629.5
3	2	4	4	1.50E-05	19714.9
5	1	4	4	1.10E-05	22582.5
3	5	3	4	6.00E-06	267945
 					
 					
 					
 					
 					
 					
 					
 					
 					
 					
 					
 					
 					
 					
 					
 					
 					
 					
 					
 					
 					
 					
 					
 					
 					
 					
 					
 					
 					
 					
 					
 					
 					
 					
 					
 					
 					
 					
 					
 					
 					
 					
 					
 					
 					
 					
 					
 					
 					
 					
 					
 					
 					
 					
 					
 					
 					
 					
 					
 					
 					
 					
 					
 					
 					

